127.0.0.1 - - [21/Oct/2022:16:16:54 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/index.jsp HTTP/1.1" 200 34818
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/font-awesome.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/magnific-popup.min.css HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/themify-icons.css HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/jquery.fancybox.min.css HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/bootstrap.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/niceselect.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/animate.css HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/flex-slider.min.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/owl-carousel.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/slicknav.min.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/style.css HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/reset.css HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/jquery.min.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/css/responsive.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/popper.min.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/jquery-ui.min.js HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/bootstrap.min.js HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/jquery-migrate-3.0.0.js HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/colors.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:16:55 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/slicknav.min.js HTTP/1.1" 404 742
